Successful,Title,CampaignStory
1,"2020 Rain or Shine, Shannon Supports MS","Hi there! My name is Shannon, and I am a 2020 Multiple Sclerosis (MS) Ambassador. In July 2010, my world fell apart because I was diagnosed with Multiple Sclerosis - a disease I kn..."
1,Chairs for Community - Support Rainbow Centre's New Campus!,"PULL UP A CHAIR AND JOIN OUR COMMUNITY! When you walk into a room full of people and there is no seat left for you, how do you feel? When a seat is too low, too small, or too unsaf..."
1,Epic fundraising ride to the unfortunate ppl,"Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation.

Donating is really simple and secure. The money will directly go to HCA Ho..."
1,Help Madam Cheah,"Madam Cheah was happily married and working in Singapore for many years, and have a loving husband who dotes on her.

The couple had applied for a flat and moved in last year durin..."
1,Team GAZ: Krabi Habitat for Humanity Build May 2019,"In Memory of our Brother and friend Gary, we will be going to Krabi for our second Habitat for Humanity build. We hope you will support us as we make the dream of home ownership po..."
1,Give XiXi A Chance,"You might have read the article last week about a baby girl from China and suffering from neuroblastoma, if not here’s the story run by AsiaOne: https://www.asiaone.com/singapore/h..."
1,Please save my beloved mother,"Please save my beloved mother This is my beloved mother, Madam Yiap, a kind-hearted, cheerful lady 86 years old, born and grew up in a tranquil small town in Johor, Malaysia all he..."
1,SJJPedals for Ride for Rations - Sunlove Abode,Thank you for visiting our fundraising page! James and SJ have committed to riding 440km in the month of September to raise funds for Ride for Rations. While only the mileage clock...
1,JLL Fun Run for Habitat for Humanity,"Thank you for visiting the JLL Fun Run page! Whether you are joining the run or sponsoring the team, the D&I committee appreciates your  help!

Donating is really simple and secure..."
1,Help Children with Hearing Loss Receive Early Intervention #SeasonOfGiving,"Your GIFT creates REAL impact!

Meet Charmaine (not her real name), a 3-year-old student who benefits from the Early Intervention Programme for Infants and Children (EIPIC) for her hearing loss at Canossaville Preschool.

The Canossaville Preschool is the only mainstream preschool in Singapore with a specialisation of working with children with hearing loss, with intervention sessions held during curriculum hours.

It is a struggle for Charmaine's family to meet their daily needs. Charmaine's mother has to put aside money each month for Charmaine's brother who requires monthly occupational therapy at KKH. Charmaine's grandfather has a heart condition, and while he is able to work, most of his salary goes to his medical care.

To ease their burden, Canossaville subsidises half of Charmaine's preschool and school bus fees. We believe that a child's preschool years are crucial for their development, even more so for children with disabilities such as hearing loss.

Your donations will help us strive to do all we can for Charmaine and others like her by giving them the best possible start in their education.

---
This is an impact story as part of Canossaville's Season Of Giving Campaign. Donations to this campaign will also qualify for a dollar matching from the Singapore Government and Toteboard up to $250,000 per charity.

Thank you!All donations to the Season of Giving campaign shall be eligible for dollar matching by the Singapore Government and Tote Board up to cap of $250,000 per charity.

Every year, we all look forward to a special occasion. For some it could be a birthday, for others, a festive season such as Christmas. While we all celebrate these special occasions in our own ways, many also choose to give and share with others who need a little bit more help.

At Canossaville Children and Community Services, our programmes and services are open to our children and their families all year round, with priority given to those from disadvantaged backgrounds. Education is at the core of what we do and our Canossian Circle of Care provides the supporting structure to children through a preschool, after-school care as well as a child development unit.

This can only be made possible with the support of donors like yourself. We advocate for sustainable giving all year round to support all our programmes and services. In reality, donors tend to only donate at the end of the year during the season of giving.

We acknowledge this and humbly seek your kind support for us to build up enough donations to sustain our programmes and services through the year.

Thank you for not forgetting us during this season of giving. Your special thoughts warm the hearts of our children and their families under our care.

#SGCares #GivingWeekSG #CityOfGood"
1,"Singapore Prison Service (SPS), PHQ Cares!","The origins of Singapore's penal system may be traced back to the arrival of the first batch of convicts in 1825. However, SPS was formally established as a government agency only in 1946. SPS celebrates 'SPS75' this year, commemorating 75 years since its inception. SPS has since progressed to be a leading correctional agency in the safe and secure custody, and rehabilitation of inmates. To commemorate its 75th anniversary, SPS is raising $75,000 from its Captains of Lives for the President's Challenge 2021: 

a. Cluster A: $18,200
b. Cluster B: $16,500
c. Cluster C: $9,300
d. Community Supervision Centre (ComC): $6,700
e. Operations & Security Command (OSC): $4,100
f. Prison Headquarters (PHQ): $20,200

There is much to celebrate but we want to instill a sense of pride amongst staff and demonstrate that SPS cares about those in need. Indeed, care is one of our core values! We urge all staff to contribute towards this meaningful cause.

SPS Cares - $75K for 75 Years! Let's do it!"
1,You’ll Never Walk Alone by Bennett Neo #YNWAbyComChest,"""You'll Never Walk Alone"" has become the unofficial anthem of the universal fight against COVID-19 all across the globe, crossing geographical boundaries, clubs, and backgrounds. W..."
1,Help Our Baby Boy who born premature,Helping my son Jun Zhe on his medical expenses Both my wife and myself are Malaysian and Singapore PR residing in Singapore. Initially we planned to go back to Malaysia on August t...
1,Give 3-year-old Mariatul A Chance To Hear Again,"Hello everyone. I'm Mariatul. I'm 3 years old. I can't really hear everything properly, and sometimes I get into trouble because I can't understand what people are saying. My mummy..."
1,Give my 5 days old baby a chance,"""As a mother to be so distanced with my new born baby just gives me a lot of heartaches"" Hi, I am Cheryl. I just recently delivered my new-born baby, Siggy, thru Caesarean section ..."
1,Cirium APAC Charity Run - Help protect children in emergencies,"Thank you for being part of our Fundraiser!

Cirium's diverse APAC team is organising a multi-city 10 km team run to raise funds for charity on the 22nd of October 2021! We are spr..."
1,SingaporeCancerSociety-Talkmed Relay For Life(FirstAdviser),Thank you for visiting First Adviser fundraising page! We hope you will support us in our cause by making a donation. Donating is really simple and secure. The money will directly ...
1,Dollar Matching: Empower Children and Adults in CPAS #GivingWeekSG,"Donations are matched by ToteBoard and Government!

Cerebral Palsy is caused by illness or injury to the brain before or during birth, or early in life. Persons living with cerebral palsy often face limitations in their motor functioning, muscle control and may also lose associated functioning in common areas such as speech and hearing.

While cerebral palsy is non-curable, it is also a non-progressive condition that does not necessarily worsen as the person ages. However, access to therapy and intervention can help to alleviate pain and improve the overall functioning and well-being of the person with the condition.

CPAS started over 60 years ago and is the leading social service agency in Singapore working with persons with the condition. Formerly known as the Spastic Children's Association Of Singapore (SCAS), we changed our name to Cerebral Palsy Alliance Singapore (CPAS) to uphold the dignity of our clients and to better reflect our services and programmes.

Over the years, our association has expanded to serve more clients and provide more comprehensive services through the kind donations from many organisations and individual donors like yourself.

We seek your continued support and donation for us to continue to make a difference to the cerebral palsy community in Singapore.

This campaign is in support of the SG Cares Giving Week movement.

#CerebralPalsySG #SGCares #GivingWeekSG #CityOfGood"
1,"Pre Dawn (Sahoor) meals for over 1,000 migrant workers","We are raising funds to provide Pre Dawn (Sahoor) meals for over 1,000 migrant workers who are in Factory-Converted and Construction Site Dorms till end of Ramadan, 23 May, 2020. D..."
1,"KNOCKED DOWN, BUT NOT OUT HELP QINGBIAO","Qing Biao was a recent university graduate in a new job, but he was tragically struck down while innocently crossing the road like any obedient citizen. He was seriously injured wi..."
1,Solidarity Gift for SG Livelihoods Fund by Rodney Lee @WeGiveInSolidarity,"Dear friends,

Join me in donating your Solidarity payment of $600 to the community in need. I would be donating my Solidarity Payment to help such causes and hope that you could j..."
1,Help Premature Baby Mattheo,"“And we know that for those who love God all things work together for good, for those who are called according to his purpose.” Romans 8:28 (ESV)We prayed to God for almost 2 years..."
1,Give Chee Mun A Chance To Recover,"Give Chee Mun a chance to recover! Chee Mun came from Malaysia to seek a living in Singapore, working as a Chef in one of the Zhi Char stall day and night, 14 hours a day, so he ca..."
1,"Solidarity Gift for SG Livelihoods Fund by Camper, Summer, Cory, Sienna, Quinn #WeGiveInSolidarity",There are people who have less than us. The government gave all Singaporeans $600 each. Our parents will pay it forward. Earlier this year we donated $1100 from our ang pow money t...
1,Solidarity Gift for SG Livelihoods Fund by Nicole Chua & Colin Koh #WeGiveInSolidarity,"There is no such thing as a small act of kindness. Every act creates a ripple. We can’t help everyone, but everyone can help someone.

Am grateful for all the friends who are makin..."
1,Help our Premature Baby Kaede,Help our premature Baby Kaede Me and my wife are parents to a premature baby boy. My wife was scheduled to go back to the Philippines on 8 May as we were planning for her to give b...
1,Help my wife fight for her life in ICU,Help my wife fight for her life in ICU My wife Wen Bin and I have been married for two years. We live in Singapore as I have been working here for four years. We had dreamed to bui...
1,Terence Tan going for KDF Millennium Ride 2019,Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation. Donating is really simple and secure. The money will go straight to Kidney ...
1,Art With A Cause!,"For this year, we would like to give back to the community. For this initiative, we will be tapping onto your Champ's artwork. We seek your generosity as the money raised will be donated to a charitable organisation chosen by the K2 Champs (AWWA).

With your generosity, you can bring joy and smiles to them, which will be especially meaningful during this COVID-19 pandemic."
1,"The Salvation Army Haven - Help meet the needs of the young residents
","The joy of giving!

The Haven is a residential home to care for children and young people who are unable to be cared for by their own families. They provide a comprehensive residential care programme, specially designed and directed towards preparing their reintegration into the community and reunion with their families.

At The Haven, social workers and care staff work towards building a close relationship with the children and young people, seeking to be a friend, teacher and counsellor to help them overcome their past hurts and to build up their resilience to face the future with a positive attitude.

They also provide a programme which specializes in an alternative care approach for teenagers who require further assistance while pursuing post-secondary education, known as Transitions@Haven. This hostel living arrangement helps them learn necessary life skills and encourage independent living."
1,Baby Tank Need Your Help,"Baby Le Trong Thanh or known as Tank, is only 14 months old, and the poor boy not only contracted Hydrocephalus, but also Brain Tuberculosis and suffering from high fluid protein w..."
1,Help Stroke-stricken Migrant Brother Meet His Family Again!,"Help Stroke-stricken Migrant Brother Ponniya to Meet His Family Again! Mr Ponniya Murugesan is a 45-year-old Indian, who has been working in Singapore and contributing to our infra..."
